sku,name,category,supplier_id,cost_price,selling_price,supplier_lead_time_days
GRC-001,Milk 1L,Grocery,SUP-G1,38.00,54.00,2
GRC-002,Rice 5kg,Grocery,SUP-G2,245.00,320.00,5
GRC-003,Eggs 12 Pack,Grocery,SUP-G3,52.00,78.00,2
GRC-004,Potato Chips 150g,Grocery,SUP-G4,18.00,35.00,4
CLT-001,Basic Cotton T-Shirt,Clothing,SUP-C1,140.00,299.00,7
CLT-002,Slim Fit Denim Jeans,Clothing,SUP-C2,620.00,1199.00,10
CLT-003,Unisex Hoodie,Clothing,SUP-C3,480.00,899.00,8
CLT-004,Ankle Socks (Pack of 3),Clothing,SUP-C4,55.00,129.00,6
GRC-005,Organic Honey 500g,Grocery,SUP-G5,165.00,299.00,9
CLT-005,Kids Winter Jacket,Clothing,SUP-C5,780.00,1499.00,12
